authority_tier,char_count,key,lane,name,node_id,node_type,source_id
,,arreat-summit,,arreat-summit,53cd039a-953c-5329-8cc7-9365aa7d10b9,Source,
official,,homepage,official,The Arreat Summit - A Strategy Guide for Diablo II,5e7ba024-4137-5686-8ae8-7f58513c7ef8,SourceDocument,arreat-summit
,,diablo2exp,,A Strategy Guide for Diablo II,f4b81583-a556-59d2-9371-d39b8e655a14,LegacyReferencePage,arreat-summit
,,diablo2exp,,diablo2exp,8f14379c-2d92-5f55-b8e9-760936a94049,LegacyReferencePage,arreat-summit
,,ladder,,ladder,3c958292-f4e5-5a50-97ab-c9b9eb6a256e,LegacyReferencePage,arreat-summit
,,basics,,basics,0b6496e4-b2b1-575f-9384-6ee2eae9f05e,LegacyReferencePage,arreat-summit
,,classes,,classes,474d5dc7-51ed-5b8a-9090-0e08c3718bdb,LegacyReferencePage,arreat-summit
,,skills,,skills,7d75c3a5-069e-5df7-aaba-3a1a6918f5ef,LegacyReferencePage,arreat-summit
,,items,,items,7c534f9d-853b-517e-8840-b9aedb8814ba,LegacyReferencePage,arreat-summit
,,monsters,,monsters,e8d29f60-4baf-56ae-a688-9608c16a528e,LegacyReferencePage,arreat-summit
,,npcs,,npcs,b2fcdf62-a432-5410-870f-8cb1d008cd42,LegacyReferencePage,arreat-summit
,,quests,,quests,ffd373bd-b5df-523f-b350-fad460f2a6f6,LegacyReferencePage,arreat-summit
,,shrines,,shrines,1606c15f-2d6f-5655-821b-e48f1986c7ec,LegacyReferencePage,arreat-summit
,,maps,,maps,548cb263-0af2-5be4-a3fb-70f00cb4739d,LegacyReferencePage,arreat-summit
,,faq,,faq,6e093e9d-f98b-5922-850b-547a2791291f,LegacyReferencePage,arreat-summit
,,files,,files,77f3a0cb-d8b9-5f6d-b90a-f9643414ff69,LegacyReferencePage,arreat-summit
,,runewords,,runewords,9c8b77e8-b5e5-52e5-9872-cf748833c035,ItemPage,arreat-summit
,,runewords-110,,runewords-110,55c64761-7784-5e1e-b54c-6eae62f58653,ItemPage,arreat-summit
official,,basics,official,The Arreat Summit - Basics,8e5a2cee-e913-5c2d-9bed-a318f3311b04,SourceDocument,arreat-summit
,,basics,,Basics,d7386d56-60ab-5c6f-a8b6-e1f4c3d07090,LegacyReferencePage,arreat-summit
,,characters,,characters,4d5036c1-5370-597f-b7f1-834923c8ce35,LegacyReferencePage,arreat-summit
,,charactertypes,,charactertypes,53ffa92a-9c43-57cd-9039-38282af1da80,LegacyReferencePage,arreat-summit
official,,classes,official,The Arreat Summit - Classes,d07f47dd-a714-5f0c-a495-a6190468d81d,SourceDocument,arreat-summit
,,classes,,Classes,37ab3d63-41a1-50b8-9540-ad4926b8f4e2,LegacyReferencePage,arreat-summit
,,amazon,,amazon,d2b18d60-e588-507d-9c2f-466819e3812e,Class,arreat-summit
,,assassin,,assassin,79163e2a-9037-55a3-a66e-c361e3f01411,Class,arreat-summit
official,,skills,official,The Arreat Summit - Skills,040d4855-c9ab-57c6-8597-75b4ef4da31a,SourceDocument,arreat-summit
,,skills,,Skills,cde5f873-722e-502b-9b8f-2bb53865d558,LegacyReferencePage,arreat-summit
,,amazon-javelin,,amazon-javelin,931dbe12-fe0e-572b-b117-f570160c0de0,SkillPage,arreat-summit
,,assassin-martialarts,,assassin-martialarts,8e726b65-74e4-5f6e-8a82-ac70eda6f712,SkillPage,arreat-summit
official,,items,official,The Arreat Summit - Items,66d522d6-b624-5f2b-87d8-eceda4572eec,SourceDocument,arreat-summit
,,items,,Items,c5984ff1-fca2-5a78-825b-503fe21bef75,LegacyReferencePage,arreat-summit
,,basics,,basics,5132a217-02a5-5b5b-bfa7-ad9d8e431e68,ItemPage,arreat-summit
,,weaponsandarmor,,weaponsandarmor,9b0640a6-61ae-522e-9532-8bf4b2ac04f5,ItemPage,arreat-summit
official,,monsters,official,The Arreat Summit - Monsters,6f462207-01de-59c9-aa9b-de2bd970d90b,SourceDocument,arreat-summit
,,monsters,,Monsters,eb0420e5-150c-5552-9be7-0cd3a9c05b69,LegacyReferencePage,arreat-summit
,,basics,,basics,18f3d97f-463f-5b0d-91d7-a59f293c0767,MonsterPage,arreat-summit
,,bonus,,bonus,09a1ddf9-0555-5a0e-bc21-83621d313fed,MonsterPage,arreat-summit
official,,quests,official,The Arreat Summit - Quests,c98c4bce-e10d-5123-8459-690fa8e9c0a2,SourceDocument,arreat-summit
,,quests,,Quests,6c3756c9-8856-5751-a036-ae2129279f8b,LegacyReferencePage,arreat-summit
,,act1,,act1,f5faf7a2-6ecb-533c-aa71-81dbb45a5dbe,QuestPage,arreat-summit
,,act2,,act2,8b446213-58a0-57fd-944b-b597b7ee332c,QuestPage,arreat-summit
official,,maps,official,The Arreat Summit - Maps,bfad3a76-0860-51d0-8d46-45f988e51897,SourceDocument,arreat-summit
,,maps,,Maps,12dc5ddf-fc29-5c25-a335-4bc0dafc30a3,LegacyReferencePage,arreat-summit
,,act1,,act1,8e9285b2-d55f-59a9-a3a9-a8b61635af94,AreaPage,arreat-summit
,,act2,,act2,3ef8b6d3-bf5b-541c-9c64-fdca2e3cf1b6,AreaPage,arreat-summit
,,diablo2-io,,diablo2-io,98d0c82c-1752-5d87-aca1-e0acc08f4698,Source,
structured_db,,sitemap,structured_db,sitemap,1ee666a9-b948-5673-816d-d245499d68dd,SourceDocument,diablo2-io
,,uniques,,uniques,f58f8150-b8f4-5501-a1a0-9dd3186e7fc0,WebPage,diablo2-io
,,runewords,,runewords,e3f9f519-e4bf-52f0-8a4a-66229f42d8ec,WebPage,diablo2-io
,,sets,,sets,dc6344e0-dd9e-5648-b71d-f8b782bf1ee8,WebPage,diablo2-io
,,base,,base,7de2bd05-e524-51db-a624-762301039129,WebPage,diablo2-io
,,recipes,,recipes,d1a1a737-1aca-5de8-8aca-7345a9b9a13c,WebPage,diablo2-io
,,monsters,,monsters,f790114d-8325-587d-9043-4e4b3fac7986,WebPage,diablo2-io
,,npcs,,npcs,bb76362f-ef5a-59ac-8539-3776a78e2992,WebPage,diablo2-io
,,skills,,skills,b8fd8403-008f-5d7e-ab74-7186ebe579ce,WebPage,diablo2-io
,,areas,,areas,176daa6f-dce8-5807-8296-b7aad464ec1a,WebPage,diablo2-io
,,quests,,quests,5314fb1e-4587-588d-8d60-37b12243a480,WebPage,diablo2-io
,,misc,,misc,704729f6-a4bd-5c1c-9a18-2a81c5c19632,WebPage,diablo2-io
,,silks-of-the-victor-t2.html,,silks-of-the-victor-t2.html,2fe45f1a-a162-5076-87e4-32ac8fc0333b,UniqueItem,diablo2-io
,,spirit-t3.html,,spirit-t3.html,a0d8679b-e7d7-584a-aac1-0cb384fa61d6,Runeword,diablo2-io
,,cathan-s-visage-t4.html,,cathan-s-visage-t4.html,aa0a0b9f-6f68-5f24-b272-4b82d4dadfda,SetItem,diablo2-io
,,ancient-armor-t5.html,,ancient-armor-t5.html,bd0c0cf8-70bf-537f-a144-c19f165b74c8,BaseItem,diablo2-io
structured_db,,uniques,structured_db,"All Diablo 2 Resurrected Uniques
        
                                  
        
         • diablo2.io",3bc7ee73-de88-5607-8ce0-015022749b8f,SourceDocument,diablo2-io
,,uniques,,uniques,939ad719-0090-5681-8239-cba625faf289,WebPage,diablo2-io
,,hellslayer-t814.html,,hellslayer-t814.html,babc2b44-4976-52eb-bf45-c220c7ed53d1,UniqueItem,diablo2-io
,,decapitator-t1612.html,,decapitator-t1612.html,c24e6c92-1801-5761-b647-ceb2e60aa661,BaseItem,diablo2-io
,,cranebeak-t731.html,,cranebeak-t731.html,28251f60-4639-590e-9ca5-5da706fb709f,UniqueItem,diablo2-io
,,war-spike-t1598.html,,war-spike-t1598.html,6965a18e-f3f3-5ee1-9655-1ba04a438c51,BaseItem,diablo2-io
,,pluckeye-t875.html,,pluckeye-t875.html,92ddc2c4-8f54-5b81-ab90-12689a1d7bae,UniqueItem,diablo2-io
,,short-bow-t1615.html,,short-bow-t1615.html,f0ad4a24-0e5d-5cda-a63e-8c6536bfbfb7,BaseItem,diablo2-io
,,bane-ash-t683.html,,bane-ash-t683.html,49f78d58-6425-52ef-a7bd-9e4d0f3a0c95,UniqueItem,diablo2-io
