base::uow	Aegis	塔盾	base_item	\N	uow	"[""Aegis"", ""armor"", ""shie"", ""塔盾""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::pa4	Aerin Shield	艾文之盾	base_item	\N	pa4	"[""Aerin Shield"", ""armor"", ""ashd"", ""艾文之盾""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::pa7	Akaran Rondache	亞克南輕圓盾	base_item	\N	pa7	"[""Akaran Rondache"", ""armor"", ""ashd"", ""亞克南輕圓盾""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::pa6	Akaran Targe	亞克南圓盾	base_item	\N	pa6	"[""Akaran Targe"", ""armor"", ""ashd"", ""亞克南圓盾""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::dr6	Alpha Helm	阿爾發頭盔	base_item	\N	dr6	"[""Alpha Helm"", ""armor"", ""pelt"", ""阿爾發頭盔""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::aar	Ancient Armor	古代裝甲	base_item	\N	aar	"[""Ancient Armor"", ""armor"", ""tors"", ""古代裝甲""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::pad	Ancient Shield	庫拉斯特之盾	base_item	\N	pad	"[""Ancient Shield"", ""armor"", ""ashd"", ""庫拉斯特之盾""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::xts	Ancient Shield	古代之盾	base_item	\N	xts	"[""Ancient Shield"", ""armor"", ""shie"", ""古代之盾""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::dr3	Antlers	鹿角	base_item	\N	dr3	"[""Antlers"", ""armor"", ""pelt"", ""鹿角""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::utp	Archon Plate	執政官鎧甲	base_item	\N	utp	"[""Archon Plate"", ""armor"", ""tors"", ""執政官鎧甲""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::ulm	Armet	活動頭盔	base_item	\N	ulm	"[""Armet"", ""armor"", ""helm"", ""活動頭盔""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::ba4	Assault Helmet	突擊盔	base_item	\N	ba4	"[""Assault Helmet"", ""armor"", ""phlm"", ""突擊盔""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::ba5	Avenger Guard	復仇者之盔	base_item	\N	ba5	"[""Avenger Guard"", ""armor"", ""phlm"", ""復仇者之盔""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::upl	Balrog Skin	炎魔皮板甲	base_item	\N	upl	"[""Balrog Skin"", ""armor"", ""tors"", ""炎魔皮板甲""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::xpk	Barbed Shield	倒刺護盾	base_item	\N	xpk	"[""Barbed Shield"", ""armor"", ""shie"", ""倒刺護盾""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::xhl	Basinet	輕鋼盔	base_item	\N	xhl	"[""Basinet"", ""armor"", ""helm"", ""輕鋼盔""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::ztb	Battle Belt	戰場腰帶	base_item	\N	ztb	"[""Battle Belt"", ""armor"", ""belt"", ""戰場腰帶""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::xtb	Battle Boots	戰場之靴	base_item	\N	xtb	"[""Battle Boots"", ""armor"", ""boot"", ""戰場之靴""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::xtg	Battle Gauntlets	戰場手套	base_item	\N	xtg	"[""Battle Gauntlets"", ""armor"", ""glov"", ""戰場手套""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::mbl	Belt	扣帶	base_item	\N	mbl	"[""Belt"", ""armor"", ""belt"", ""扣帶""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::upk	Blade Barrier	刀刃刺盾	base_item	\N	upk	"[""Blade Barrier"", ""armor"", ""shie"", ""刀刃刺盾""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::wae	Blasphemous Compendium	wae	base_item	\N	wae	"[""Blasphemous Compendium"", ""armor"", ""grim"", ""wae""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::waf	Blasphemous Grimoire	waf	base_item	\N	waf	"[""Blasphemous Grimoire"", ""armor"", ""grim"", ""waf""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::drb	Blood Spirit	血腥之靈	base_item	\N	drb	"[""Blood Spirit"", ""armor"", ""pelt"", ""血腥之靈""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::nef	Bloodlord Skull	血王之骨	base_item	\N	nef	"[""Bloodlord Skull"", ""armor"", ""head"", ""血王之骨""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
base::bhm	Bone Helm	白骨頭盔	base_item	\N	bhm	"[""Bone Helm"", ""armor"", ""helm"", ""白骨頭盔""]"	blizzhackers/d2data	True	"{""source_file"": ""armor.json""}"
