monster::abominable::snowyeti2	Abominable	墮落王	snowyeti	"[""hell_immune_cold"", ""hell_immune_drain_effectiveness"", ""snowyeti""]"	blizzhackers/d2data	True	"{""base_id"": ""snowyeti1"", ""source_file"": ""monstats.json""}"
monster::abyss-knight::doomknight2	Abyss Knight	地獄騎士	doomknight	"[""doomknight"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""doomknight2"", ""source_file"": ""monstats.json""}"
monster::afflicted::bighead1	Afflicted	苦難怪	bighead	"[""bighead"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""bighead1"", ""source_file"": ""monstats.json""}"
monster::afflicted::bighead6	Afflicted	苦難怪	bighead	"[""bighead"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""bighead1"", ""source_file"": ""monstats.json""}"
monster::agony-worm::painworm3	Agony Worm	苦惱之蟲	vilekind	"[""hell_immune_cold"", ""vilekind""]"	blizzhackers/d2data	True	"{""base_id"": ""painworm1"", ""source_file"": ""monstats.json""}"
monster::andariel::andariel	Andariel	安達利爾	demon	"[""demon""]"	blizzhackers/d2data	True	"{""base_id"": ""andariel"", ""source_file"": ""monstats.json""}"
monster::anguish-worm::painworm5	Anguish Worm	悲苦之蟲	vilekind	"[""hell_immune_cold"", ""vilekind""]"	blizzhackers/d2data	True	"{""base_id"": ""painworm1"", ""source_file"": ""monstats.json""}"
monster::apparition::wraith4	Apparition	幽影	wraith	"[""hell_immune_physical"", ""wraith""]"	blizzhackers/d2data	True	"{""base_id"": ""wraith1"", ""source_file"": ""monstats.json""}"
monster::arach::arach1	Arach	奧拉克	arach	"[""arach"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""arach1"", ""source_file"": ""monstats.json""}"
monster::arach::arach6	Arach	奧拉克	arach	"[""arach"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""arach1"", ""source_file"": ""monstats.json""}"
monster::arach::arach7	Arach	奧拉克	arach	"[""arach"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""arach1"", ""source_file"": ""monstats.json""}"
monster::assailant::sandraider10	Assailant	攻擊者	sandraider	"[""hell_immune_fire"", ""sandraider""]"	blizzhackers/d2data	True	"{""base_id"": ""sandraider1"", ""source_file"": ""monstats.json""}"
monster::assailant::sandraider5	Assailant	攻擊者	sandraider	"[""hell_immune_fire"", ""sandraider""]"	blizzhackers/d2data	True	"{""base_id"": ""sandraider1"", ""source_file"": ""monstats.json""}"
monster::baal::baalclone	Baal	巴爾	demon	"[""demon""]"	blizzhackers/d2data	True	"{""base_id"": ""baalclone"", ""source_file"": ""monstats.json""}"
monster::baal::baalcrab	Baal	巴爾	demon	"[""demon""]"	blizzhackers/d2data	True	"{""base_id"": ""baalcrab"", ""source_file"": ""monstats.json""}"
monster::baal::baalcrabstairs	Baal	巴爾	demon	"[""demon""]"	blizzhackers/d2data	True	"{""base_id"": ""baalcrabstairs"", ""source_file"": ""monstats.json""}"
monster::baal::baalthrone	Baal	巴爾	demon	"[""demon""]"	blizzhackers/d2data	True	"{""base_id"": ""baalthrone"", ""source_file"": ""monstats.json""}"
monster::baal::uberbaal	Baal	巴爾	demon	"[""demon"", ""hell_immune_cold""]"	blizzhackers/d2data	True	"{""base_id"": ""baalcrab"", ""source_file"": ""monstats.json""}"
monster::balrog::megademon1	Balrog	巴羅格	megademon	"[""hell_immune_fire"", ""megademon""]"	blizzhackers/d2data	True	"{""base_id"": ""megademon1"", ""source_file"": ""monstats.json""}"
